Id,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Pool Area,Pool QC,Fence,Misc Feature,Mo Sold,Yr Sold,Sale Type,SalePrice,BsmtBaths,Baths,HasPorch,TotalPorchArea,Property_age
1044,160,RM,21.0,1680,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,TA,TA,CBlock,TA,TA,No,96.0,483.0,GasA,TA,Y,SBrkr,483,504,0,987,2,1,TA,4,Typ,0,None,Detchd,1971.0,Unf,1.0,264.0,TA,TA,Y,0,None,None,None,7,2008,COD,85400,0.0,2,0,0,37
2752,20,RL,64.0,7488,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,815.0,1208.0,GasA,Ex,Y,SBrkr,1208,0,0,1208,2,1,Gd,6,Typ,0,None,Attchd,2005.0,RFn,2.0,632.0,TA,TA,Y,0,None,None,None,2,2006,WD ,183600,0.0,2,1,163,1
807,70,RL,120.0,26400,Pave,None,Reg,Bnk,AllPub,FR2,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,None,None,None,0.0,0.0,GasA,Ex,Y,SBrkr,1288,728,0,2016,4,1,TA,7,Mod,1,TA,Attchd,1900.0,Unf,2.0,576.0,TA,TA,P,0,None,None,None,6,2009,WD ,131000,0.0,1,0,0,129
1177,160,FV,24.0,2645,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,147.0,960.0,GasA,Ex,Y,SBrkr,962,645,0,1607,3,1,Gd,7,Typ,0,None,Detchd,2000.0,Unf,2.0,480.0,TA,TA,Y,0,None,None,None,12,2008,ConLD,200000,1.0,3,1,169,9
1480,20,RL,74.0,9627,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,1327.0,1351.0,GasA,Ex,Y,SBrkr,1361,0,0,1361,3,1,Gd,6,Typ,0,None,Attchd,2007.0,RFn,2.0,610.0,TA,TA,Y,0,None,None,None,6,2008,WD ,193000,0.0,2,1,50,1
324,20,RL,93.0,10114,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Ex,TA,Av,1430.0,1430.0,GasA,Ex,Y,SBrkr,1430,0,0,1430,3,1,Gd,7,Typ,0,None,Attchd,2004.0,RFn,2.0,624.0,TA,TA,Y,0,None,None,None,3,2010,WD ,173500,0.0,2,0,0,6
1311,70,RM,34.0,4571,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,BrkTil,TA,TA,No,624.0,624.0,GasA,Fa,N,SBrkr,624,720,0,1344,4,1,TA,7,Typ,0,None,Detchd,1916.0,Unf,3.0,513.0,Fa,Fa,Y,0,None,None,None,5,2008,COD,98000,0.0,1,1,96,92
770,20,RL,80.0,8816,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,470.0,1121.0,GasA,TA,Y,SBrkr,1121,0,0,1121,3,1,TA,5,Typ,0,None,Detchd,1963.0,Unf,2.0,480.0,TA,TA,Y,0,None,MnPrv,None,6,2009,WD ,139000,1.0,1,1,80,46
2063,20,RL,71.0,8197,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,TA,TA,CBlock,TA,TA,No,660.0,660.0,GasA,Ex,Y,SBrkr,1285,0,0,1285,3,1,TA,7,Typ,1,TA,Attchd,1977.0,RFn,2.0,528.0,TA,TA,Y,0,None,MnPrv,None,4,2007,WD ,143500,0.0,2,1,138,30
69,60,FV,72.0,8640,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Mn,732.0,756.0,GasA,Ex,Y,SBrkr,764,783,0,1547,3,1,Gd,7,Typ,0,None,Attchd,2009.0,Unf,2.0,614.0,TA,TA,Y,0,None,None,None,6,2010,Con,215200,0.0,3,1,214,1
2062,20,RL,109.0,8724,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,No,402.0,894.0,GasA,Gd,Y,SBrkr,894,0,0,894,3,1,TA,5,Typ,1,Po,Attchd,1968.0,Fin,2.0,450.0,TA,TA,Y,0,None,None,None,5,2007,WD ,129000,0.0,1,0,0,39
351,120,RL,40.0,5664,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,No,343.0,1501.0,GasA,Ex,Y,SBrkr,1659,0,0,1659,2,1,Ex,5,Typ,1,Ex,Attchd,2000.0,Fin,2.0,499.0,TA,TA,Y,0,None,None,None,10,2009,WD ,278000,1.0,2,1,271,9
2393,60,RL,103.0,12867,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Ex,TA,Av,1209.0,1209.0,GasA,Ex,Y,SBrkr,1209,1044,0,2253,3,1,Ex,8,Typ,1,Gd,Attchd,2005.0,Fin,2.0,575.0,TA,TA,Y,0,None,None,None,7,2006,New,344133,0.0,3,1,385,1
12,20,RL,0.0,7980,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,PConc,Gd,TA,No,233.0,1168.0,GasA,Ex,Y,SBrkr,1187,0,0,1187,3,1,TA,6,Typ,0,None,Attchd,1992.0,Fin,2.0,420.0,TA,TA,Y,0,None,GdPrv,Shed,3,2010,WD ,185000,1.0,2,1,504,18
2339,190,RL,100.0,34650,Pave,None,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,0.0,1056.0,GasA,TA,N,SBrkr,1056,0,0,1056,3,1,TA,5,Typ,0,None,Attchd,1955.0,Fin,2.0,572.0,TA,TA,Y,0,None,None,None,1,2006,WD ,145000,1.0,1,1,264,51
624,20,RL,92.0,10573,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,TA,TA,CBlock,TA,TA,No,141.0,1453.0,GasA,Ex,Y,SBrkr,1453,0,0,1453,3,1,TA,6,Typ,1,TA,Attchd,1961.0,RFn,2.0,530.0,TA,TA,Y,0,None,GdPrv,None,4,2009,WD ,187500,1.0,2,1,337,48
86,20,RL,65.0,8450,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,224.0,894.0,GasA,Ex,Y,SBrkr,894,0,0,894,3,1,TA,5,Typ,1,Gd,Detchd,1973.0,Unf,1.0,336.0,TA,TA,Y,0,None,MnPrv,None,4,2010,WD ,138500,1.0,1,1,560,45
1534,50,RL,0.0,11700,Pave,Grvl,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,TA,No,336.0,942.0,GasA,Ex,Y,SBrkr,1265,673,0,1938,4,1,Gd,7,Min2,1,Gd,Detchd,1937.0,Unf,1.0,240.0,TA,TA,Y,0,None,None,None,7,2008,WD ,198000,0.0,2,1,40,71
2243,190,C (all),75.0,8250,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,957.0,957.0,GasA,Fa,N,SBrkr,1034,957,0,1991,4,2,TA,9,Typ,0,None,None,1895.0,None,0.0,0.0,None,None,N,0,None,None,None,6,2007,WD ,119600,0.0,2,1,133,112
1957,50,RL,60.0,8064,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,Mn,672.0,672.0,GasA,Ex,Y,SBrkr,672,252,0,924,3,1,TA,6,Typ,1,Po,Detchd,2003.0,Unf,2.0,576.0,TA,TA,Y,0,None,MnPrv,Shed,7,2007,WD ,122900,0.0,1,0,0,58
380,20,RL,80.0,9600,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,Gd,TA,PConc,Gd,TA,No,1420.0,2524.0,GasA,TA,Y,SBrkr,2524,0,0,2524,4,1,Gd,9,Typ,1,Gd,Attchd,1981.0,Fin,2.0,542.0,TA,TA,Y,0,None,MnPrv,None,7,2009,WD ,278000,1.0,3,1,594,28
2860,70,RL,0.0,11435,Pave,None,IR1,HLS,AllPub,Corner,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,TA,TA,PConc,Gd,TA,No,792.0,792.0,GasA,Fa,Y,SBrkr,792,725,0,1517,3,1,Gd,7,Typ,2,Gd,Detchd,1931.0,Unf,2.0,400.0,TA,TA,Y,0,None,None,None,6,2006,WD ,230000,0.0,1,0,0,77
2517,120,RL,30.0,9549,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,0.0,Gd,Gd,PConc,Gd,Gd,Av,0.0,1494.0,GasA,Ex,Y,SBrkr,1494,0,0,1494,2,1,Ex,6,Typ,1,Gd,Attchd,1995.0,Fin,2.0,481.0,TA,TA,Y,0,None,None,None,4,2006,WD ,270000,1.0,2,1,246,11
1933,20,RL,60.0,10950,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,507.0,948.0,GasA,TA,Y,SBrkr,948,0,0,948,2,1,TA,5,Typ,0,None,Detchd,1952.0,Unf,2.0,410.0,TA,TA,N,0,None,None,None,4,2007,WD ,125000,0.0,1,1,48,55
820,20,RL,79.0,10637,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,Gd,TA,PConc,Ex,TA,Gd,417.0,1705.0,GasA,Ex,Y,SBrkr,1718,0,0,1718,3,1,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,3.0,826.0,TA,TA,Y,0,None,None,None,9,2009,WD ,297000,1.0,2,1,252,2
675,20,RL,80.0,9000,Pave,None,IR1,HLS,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,TA,TA,CBlock,Gd,TA,Gd,160.0,160.0,GasA,Fa,Y,SBrkr,1142,0,0,1142,2,1,TA,5,Typ,1,Gd,Basment,1958.0,RFn,1.0,384.0,TA,TA,Y,0,None,None,None,4,2009,WD ,113500,0.0,1,1,92,51
2910,160,RM,41.0,2665,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,TA,TA,No,36.0,757.0,GasA,Ex,Y,SBrkr,925,550,0,1475,4,1,TA,6,Typ,1,TA,Attchd,1977.0,RFn,1.0,336.0,TA,TA,Y,0,None,None,None,7,2006,WD ,127000,0.0,2,1,130,29
21,20,RL,105.0,11751,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,TA,TA,CBlock,Gd,TA,No,1139.0,1844.0,GasA,Ex,Y,SBrkr,1844,0,0,1844,3,1,TA,7,Typ,1,TA,Attchd,1977.0,RFn,2.0,546.0,TA,TA,Y,0,None,MnPrv,None,1,2010,COD,190000,0.0,2,1,122,33
1873,20,RL,80.0,9600,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,TA,TA,CBlock,TA,TA,No,326.0,1242.0,GasA,Fa,Y,SBrkr,1242,0,0,1242,3,1,TA,6,Typ,1,TA,Attchd,1973.0,Unf,2.0,528.0,TA,TA,Y,0,None,None,None,9,2007,WD ,175500,0.0,2,0,0,34
2125,20,RL,60.0,8428,Pave,None,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,PConc,Gd,Gd,No,570.0,990.0,GasA,Ex,Y,SBrkr,990,0,0,990,3,1,TA,5,Typ,0,None,Detchd,1995.0,Unf,1.0,384.0,TA,TA,Y,0,None,None,None,7,2007,WD ,146000,1.0,1,1,256,13
1489,20,RL,75.0,9937,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,CBlock,TA,TA,No,136.0,1256.0,GasA,Gd,Y,SBrkr,1256,0,0,1256,3,1,TA,6,Typ,0,None,Attchd,1965.0,Fin,1.0,276.0,TA,TA,Y,0,None,None,None,6,2008,WD ,147500,1.0,2,1,804,43
2383,20,RL,107.0,13891,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,Ex,TA,PConc,Ex,Gd,Gd,690.0,2076.0,GasA,Ex,Y,SBrkr,2076,0,0,2076,2,1,Ex,7,Typ,1,Gd,Attchd,2006.0,Fin,3.0,850.0,TA,TA,Y,0,None,None,None,9,2006,New,465000,1.0,3,1,445,0
983,85,RL,0.0,9101,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,TA,Gd,PConc,Gd,TA,Av,0.0,1097.0,GasA,Ex,Y,SBrkr,1110,0,0,1110,1,1,Gd,4,Typ,1,TA,Attchd,1978.0,Fin,2.0,602.0,TA,TA,Y,0,None,None,None,7,2009,WD ,165500,1.0,1,1,333,31
1325,50,RM,81.0,12150,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,TA,TA,BrkTil,TA,TA,No,1050.0,1050.0,GasA,Ex,N,FuseF,1050,745,0,1795,4,1,TA,7,Typ,0,None,Attchd,1954.0,Unf,1.0,352.0,Fa,TA,Y,0,None,None,None,11,2008,WD ,131500,0.0,2,0,0,54
1378,20,RL,70.0,11200,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,134.0,1040.0,GasA,Ex,Y,SBrkr,1040,0,0,1040,3,1,TA,5,Typ,0,None,Detchd,1965.0,Unf,1.0,384.0,TA,TA,Y,0,None,None,None,2,2008,WD ,129500,1.0,1,0,0,43
1537,70,RL,100.0,9670,Pave,None,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,6,1935,1950,Gable,CompShg,BrkFace,Stucco,Stone,40.0,TA,TA,PConc,TA,Fa,No,398.0,608.0,GasA,TA,Y,SBrkr,983,890,0,1873,4,1,TA,9,Typ,2,Gd,Detchd,1935.0,Fin,2.0,786.0,Fa,TA,Y,0,None,None,None,6,2008,WD ,257076,0.0,2,1,207,73
905,50,RL,60.0,10998,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,5,1941,1960,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,156.0,984.0,GasA,Ex,Y,SBrkr,984,620,0,1604,3,1,TA,6,Min2,0,None,Detchd,1977.0,Unf,2.0,660.0,TA,TA,Y,0,None,None,None,7,2009,WD ,117000,0.0,2,1,68,68
1532,70,RL,60.0,7200,Pave,None,Reg,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,7,6,1931,2000,Gable,CompShg,Stucco,Wd Shng,None,0.0,TA,Fa,BrkTil,Gd,TA,No,776.0,776.0,GasA,TA,Y,SBrkr,851,651,0,1502,3,1,TA,6,Typ,1,Gd,Attchd,1931.0,RFn,1.0,270.0,TA,TA,P,0,None,MnPrv,None,2,2008,WD ,149000,0.0,2,1,112,77
132,20,RL,80.0,9920,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1954,1954,Gable,CompShg,HdBoard,HdBoard,Stone,110.0,TA,TA,CBlock,TA,TA,No,412.0,1056.0,GasA,TA,Y,SBrkr,1063,0,0,1063,3,1,TA,6,Typ,0,None,Attchd,1954.0,RFn,1.0,280.0,TA,TA,Y,0,None,MnPrv,None,2,2010,WD ,128000,1.0,1,1,164,56
1078,160,RL,36.0,2448,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,Gd,TA,PConc,Gd,TA,No,764.0,764.0,GasA,Ex,Y,SBrkr,764,862,0,1626,2,1,Gd,6,Typ,0,None,BuiltIn,2003.0,RFn,2.0,474.0,TA,TA,Y,0,None,None,None,10,2008,WD ,155000,0.0,3,1,27,5
2511,160,FV,0.0,2998,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,513.0,Gd,TA,PConc,Gd,TA,No,403.0,756.0,GasA,Ex,Y,SBrkr,768,756,0,1524,2,1,Gd,4,Typ,0,None,Detchd,2000.0,Unf,2.0,440.0,TA,TA,Y,0,None,None,None,6,2006,WD ,166000,0.0,3,1,32,6
912,50,RL,65.0,7804,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,4,3,1928,1950,Gable,CompShg,WdShing,Plywood,None,0.0,TA,TA,BrkTil,TA,TA,No,500.0,1122.0,GasA,TA,Y,SBrkr,1328,653,0,1981,4,1,Gd,7,Min2,2,TA,Detchd,1981.0,Unf,2.0,576.0,TA,TA,Y,0,None,MnPrv,None,12,2009,WD ,135000,1.0,2,1,475,81
2351,60,RL,80.0,16692,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,RRAn,Norm,1Fam,2Story,7,5,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,184.0,TA,TA,CBlock,Gd,TA,No,133.0,1392.0,GasA,TA,Y,SBrkr,1392,1392,0,2784,5,1,Gd,12,Typ,2,TA,Attchd,1978.0,RFn,2.0,564.0,TA,TA,Y,519,Fa,MnPrv,TenC,7,2006,WD ,250000,1.0,4,1,552,28
