Date,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,AvgSpeed,Depart,Sunset,Sunrise,Precip_1,Precip_2,week_of_year
2007-05-24,88.0,64.5,76.5,53.5,63.0,0.0,11.5,16.25,14,1913,424,0.02,0.0001,21
2007-05-25,68.0,56.5,62.5,45.0,53.0,2.5,0.0,8.5,1,1914,423,0.0001,0.09,21
2007-05-26,67.5,49.5,58.5,55.0,56.5,6.5,0.0,7.5,-5,1915,422,1.01,0.28,21
2007-05-27,75.0,58.0,66.5,48.0,56.5,0.0,1.5,9.35,4,1916,422,0.04,0.08,21
2007-05-28,77.5,52.0,65.0,48.0,56.5,0.0,0.0,5.25,2,1916,421,0.0001,0.0,22
2007-05-29,88.0,62.5,75.5,58.5,65.5,0.0,10.5,6.95,10,1917,421,0.0,0.0,22
2007-05-30,88.0,68.0,78.5,57.5,65.5,0.0,13.5,10.35,13,1918,420,0.0,0.0,22
2007-05-31,79.0,66.5,73.0,61.0,65.5,0.0,8.0,9.55,8,1919,420,0.01,0.53,22
2007-06-01,85.5,64.5,75.5,63.0,66.5,0.0,10.5,6.1,10,1920,419,0.19,0.21,22
2007-06-02,81.0,66.5,74.0,62.5,67.0,0.0,9.0,7.8,9,1920,419,0.04,0.0001,22
2007-06-03,77.5,63.0,70.5,60.0,63.5,0.0,5.5,6.95,6,1921,418,0.01,0.32,22
2007-06-04,71.5,57.0,64.5,57.5,60.0,0.5,0.0,9.9,1,1922,418,0.39,0.31,23
2007-06-05,63.5,49.0,56.5,47.5,51.5,8.5,0.0,7.85,-9,1923,417,0.42,0.27,23
2007-06-06,72.0,46.0,59.5,47.5,55.0,5.5,0.0,11.0,-8,1923,417,0.01,0.0001,23
2007-06-07,91.5,71.0,81.5,61.5,68.5,0.0,16.5,21.9,15,1924,417,0.0,0.0,23
2007-06-08,81.0,60.0,70.5,53.5,61.5,0.0,5.5,13.1,3,1925,417,0.0,0.0,23
2007-06-09,79.0,54.5,67.0,48.0,57.5,0.0,2.0,4.85,0,1925,416,0.0,0.0,23
2007-06-10,81.0,58.0,69.5,50.5,59.5,0.0,4.5,5.699999999999999,1,1926,416,0.0,0.0,23
2007-06-11,85.5,61.5,73.5,51.5,61.0,0.0,8.5,7.65,5,1926,416,0.0,0.0,24
2007-06-12,82.5,64.0,73.5,50.5,60.5,0.0,8.5,9.4,5,1927,416,0.0,0.0,24
2007-06-13,86.5,64.0,75.5,53.0,62.0,0.0,10.5,8.6,6,1927,416,0.0,0.0,24
2007-06-14,89.0,66.0,78.0,54.5,63.5,0.0,13.0,6.6,9,1928,416,0.0,0.0,24
2007-06-15,90.0,65.0,77.5,56.0,64.5,0.0,12.5,4.5,9,1928,416,0.0,0.0,24
2007-06-16,92.5,67.0,80.0,60.5,67.5,0.0,15.0,5.949999999999999,11,1929,416,0.0001,0.0001,24
2007-06-17,91.0,70.5,81.0,64.5,70.0,0.0,16.0,6.199999999999999,12,1929,416,0.0,0.16,24
2007-06-18,89.0,71.0,80.0,65.0,70.0,0.0,15.0,13.85,9,1929,416,0.28,0.02,25
2007-06-19,80.5,65.0,73.0,55.0,63.0,0.0,8.0,11.35,3,1930,416,0.58,0.93,25
2007-06-20,84.5,61.5,73.5,51.0,61.0,0.0,8.5,8.25,3,1930,416,0.0,0.0,25
2007-06-21,78.5,63.5,71.0,51.0,60.5,0.0,6.0,10.15,-1,1930,416,0.01,0.0001,25
2007-06-22,75.5,61.5,69.0,49.5,58.0,0.0,4.0,8.399999999999999,-1,1931,417,0.0001,0.0001,25
2007-06-23,67.5,61.5,65.0,59.0,61.5,0.0,0.0,8.55,-5,1931,417,0.05,0.34,25
2007-06-24,76.0,64.0,70.0,62.0,65.0,0.0,5.0,7.0,-1,1931,417,0.0,0.0,25
2007-06-25,87.5,66.0,77.0,66.5,70.0,0.0,12.0,6.35,6,1931,417,0.0,0.0,26
2007-06-26,91.5,71.5,81.5,69.0,72.0,0.0,16.5,7.6,10,1931,418,0.16,0.0001,26
2007-06-27,90.0,71.0,80.5,69.5,72.0,0.0,15.5,8.65,10,1931,418,0.15,0.35,26
2007-06-28,73.5,59.5,66.5,55.5,60.5,0.0,1.5,12.9,-5,1931,419,0.0,0.0,26
2007-06-29,70.5,56.0,63.5,55.5,59.5,1.5,0.0,8.25,-8,1931,419,0.0,0.0,26
2007-06-30,78.0,56.0,67.5,47.5,57.0,0.0,2.5,6.0,-5,1931,419,0.0,0.0,26
2007-07-01,75.5,57.5,67.0,51.5,58.5,0.0,2.0,9.15,-7,1931,420,0.0,0.0,26
2007-07-02,78.0,55.5,67.0,50.0,58.5,0.0,2.0,8.3,-6,1931,420,0.0,0.0,27
2007-07-03,83.0,61.5,72.5,56.5,63.0,0.0,7.5,7.35,0,1931,421,0.4,0.09,27
2007-07-04,85.0,67.0,76.5,65.0,69.0,0.0,11.5,8.5,5,1930,422,0.16,0.66,27
2007-07-05,88.5,70.5,79.5,60.0,67.0,0.0,14.5,7.5,8,1930,422,0.0,0.0,27
2007-07-06,85.0,67.0,76.0,57.0,64.5,0.0,11.0,5.5,4,1930,423,0.0,0.0,27
2007-07-07,89.0,66.0,77.5,62.5,68.5,0.0,12.5,8.35,5,1930,423,0.0,0.0,27
2007-07-08,93.5,75.0,84.5,67.0,72.0,0.0,19.5,12.9,12,1929,424,0.0,0.0,27
2007-07-09,93.5,71.0,82.5,66.5,70.5,0.0,17.5,8.8,9,1929,425,0.3,0.24,28
2007-07-10,89.0,69.5,79.5,67.0,70.5,0.0,14.5,10.35,6,1929,425,0.43,0.08,28
2007-07-11,77.0,62.5,70.0,51.0,59.0,0.0,5.0,11.05,-3,1928,426,0.0,0.0,28
2007-07-12,80.0,60.5,70.5,51.0,59.5,0.0,5.5,11.25,-2,1928,427,0.0,0.0,28
2007-07-13,76.0,58.5,67.5,52.5,58.5,0.0,2.5,5.55,-5,1927,428,0.0,0.0,28
2007-07-14,84.5,61.5,73.5,55.0,62.0,0.0,8.5,13.55,0,1927,428,0.0,0.0,28
2007-07-15,81.0,62.0,71.5,52.5,61.0,0.0,6.5,5.7,-3,1926,429,0.0,0.0,28
2007-07-16,82.0,65.5,74.0,60.0,65.0,0.0,9.0,5.9,0,1925,430,0.39,0.07,29
2007-07-17,83.0,68.5,76.0,65.5,69.0,0.0,11.0,6.95,2,1925,431,0.11,0.11,29
2007-07-18,85.0,69.0,77.0,68.5,71.0,0.0,12.0,10.35,3,1924,432,1.55,0.92,29
2007-07-19,82.5,63.0,73.0,62.5,66.0,0.0,8.0,13.15,-1,1923,433,0.16,0.01,29
2007-07-20,74.5,60.0,67.5,52.5,59.0,0.0,2.5,10.3,-7,1923,433,0.0,0.0,29
2007-07-21,74.5,58.0,66.5,52.0,58.5,0.0,1.5,7.4,-8,1922,434,0.0,0.0,29
2007-07-22,81.0,59.5,70.5,54.5,61.0,0.0,5.5,3.4,-4,1921,435,0.0,0.0,29
2007-07-23,82.5,61.5,72.5,55.0,63.0,0.0,7.5,3.95,-2,1920,436,0.0,0.0,30
2007-07-24,82.0,65.0,74.0,57.5,64.0,0.0,9.0,5.050000000000001,0,1919,437,0.0,0.0001,30
2007-07-25,84.0,70.5,77.5,60.5,66.5,0.0,12.5,6.8,4,1918,438,0.0001,0.0,30
2007-07-26,83.5,65.0,74.5,65.0,68.0,0.0,9.5,9.65,1,1918,439,0.19,0.89,30
2007-07-27,83.0,70.0,77.0,67.5,70.0,0.0,12.0,8.0,3,1917,440,0.17,0.04,30
2007-07-28,80.0,68.0,74.0,65.0,68.0,0.0,9.0,10.45,-1,1916,441,0.0,0.0,30
2007-07-29,85.0,65.0,75.0,56.5,64.0,0.0,10.0,6.300000000000001,0,1915,442,0.0,0.0,30
2007-07-30,87.5,63.5,76.0,56.0,64.5,0.0,11.0,4.449999999999999,2,1914,443,0.0,0.0,31
2007-07-31,90.0,68.5,79.5,60.5,68.0,0.0,14.5,4.95,6,1913,444,0.0,0.0,31
2007-08-01,91.5,69.0,80.5,62.5,69.5,0.0,15.5,3.9,8,1911,445,0.0,0.0,31
2007-08-02,91.0,71.5,81.5,66.0,71.5,0.0,16.5,6.550000000000001,8,1910,446,0.0,0.0,31
2007-08-03,89.0,71.0,80.5,57.0,66.5,0.0,15.5,5.75,7,1909,447,0.0,0.0,31
2007-08-04,81.0,66.0,74.0,58.0,64.5,0.0,9.0,6.35,0,1908,448,0.03,0.02,31
2007-08-05,88.0,67.5,78.0,71.0,72.5,0.0,13.0,9.9,5,1907,449,1.43,0.97,31
2007-08-06,86.5,74.5,80.5,72.0,74.0,0.0,15.5,4.75,8,1906,450,0.26,0.05,32
2007-08-07,91.5,72.5,82.5,73.0,76.0,0.0,17.5,8.9,9,1904,451,1.31,0.06,32
2007-08-08,87.0,73.5,80.5,71.5,73.5,0.0,15.5,6.65,7,1903,452,0.06,0.09,32
2007-08-09,84.5,72.5,78.5,71.0,73.0,0.0,13.5,6.15,5,1902,453,0.05,0.46,32
2007-08-10,86.0,71.5,79.0,68.5,72.0,0.0,14.0,5.65,5,1900,454,0.0,0.0,32
2007-08-11,88.5,67.5,78.0,65.0,70.0,0.0,13.0,3.9,5,1859,455,0.0,0.0,32
2007-08-12,87.5,67.5,78.0,67.0,70.5,0.0,13.0,6.0,5,1858,456,0.29,0.23,32
2007-08-13,80.5,67.0,74.0,55.5,63.5,0.0,9.0,7.300000000000001,0,1856,457,0.0,0.0,33
2007-08-14,84.0,65.0,75.0,66.5,69.5,0.0,10.0,8.5,3,1855,458,0.41,0.45,33
2007-08-15,80.5,71.5,76.5,68.0,70.5,0.0,11.5,6.449999999999999,4,1854,459,0.23,0.83,33
2007-08-16,77.0,66.0,71.5,64.5,67.5,0.0,6.5,5.7,-1,1852,500,0.0,0.0,33
2007-08-17,79.5,62.5,71.5,54.0,61.5,0.0,6.5,7.1,-2,1851,501,0.0,0.0,33
2007-08-18,68.5,59.5,64.5,54.0,58.0,0.5,0.0,7.55,-8,1849,502,0.09,0.42,33
2007-08-19,68.5,62.0,65.5,62.5,64.0,0.0,0.5,7.45,-6,1848,503,1.33,1.33,33
2007-08-20,77.0,68.0,72.5,68.5,69.5,0.0,7.5,5.800000000000001,2,1846,504,0.91,0.48,34
2007-08-21,86.0,69.0,77.5,70.0,72.0,0.0,12.5,6.0,7,1845,505,0.0001,0.01,34
2007-08-22,90.0,69.5,80.0,70.5,73.0,0.0,15.0,8.95,9,1843,506,0.37,0.88,34
2007-08-23,88.0,69.5,79.0,69.0,71.0,0.0,14.0,10.4,7,1842,508,2.35,1.96,34
2007-08-24,80.5,69.0,75.0,67.0,69.0,0.0,10.0,7.199999999999999,4,1840,509,0.24,0.2,34
2007-08-25,77.5,64.5,71.5,63.0,66.0,0.0,6.5,6.0,2,1839,510,0.34,0.25,34
2007-08-26,78.5,60.5,70.0,55.0,61.5,0.0,5.0,5.0,0,1837,511,0.0,0.0,34
2007-08-27,79.0,61.5,70.5,59.5,64.0,0.0,5.5,7.35,0,1835,512,0.0,0.0,35
2007-08-28,90.5,68.0,79.5,65.5,70.0,0.0,14.5,8.9,9,1834,513,0.0,0.0,35
2007-08-29,85.5,68.5,77.5,64.5,69.0,0.0,12.5,8.5,7,1832,514,0.0001,0.0001,35
2007-08-30,75.0,58.5,67.0,54.0,60.5,0.0,2.0,10.4,-4,1831,515,0.0,0.0,35
2007-08-31,76.5,57.0,67.0,53.0,59.5,0.0,2.0,4.9,-2,1829,516,0.0,0.0,35
2007-09-01,80.0,58.5,69.5,55.5,61.5,0.0,4.5,4.7,1,1827,517,0.0,0.0,35
2007-09-02,84.5,61.5,73.0,56.5,63.0,0.0,8.0,5.5,5,1826,518,0.0,0.0,35
2007-09-03,88.0,65.0,76.5,61.0,67.0,0.0,11.5,6.0,9,1824,519,0.0,0.0,36
2007-09-04,89.5,65.0,77.5,59.5,66.5,0.0,12.5,4.65,8,1822,520,0.0,0.0,36
2007-09-05,90.5,69.0,80.0,62.5,69.0,0.0,15.0,6.6,11,1821,521,0.0001,0.0,36
2007-09-06,83.0,73.5,78.5,66.5,70.0,0.0,13.5,12.55,11,1819,522,0.18,0.08,36
2007-09-07,84.0,70.5,77.5,67.5,70.0,0.0,12.5,13.45,10,1817,523,0.19,0.67,36
2007-09-08,78.0,66.0,72.0,57.5,63.5,0.0,7.0,8.3,5,1815,524,0.0,0.0,36
2007-09-09,79.5,63.0,71.5,59.0,63.5,0.0,6.5,10.4,6,1814,525,0.0,0.0,36
2007-09-10,73.5,54.5,64.0,58.5,61.0,1.0,0.0,9.35,-2,1812,526,0.36,0.25,37
2007-09-11,71.0,50.5,61.0,44.0,52.0,4.0,0.0,13.6,-4,1810,527,0.0001,0.0001,37
2007-09-12,66.5,46.0,56.5,42.5,49.5,8.5,0.0,5.8,-8,1809,528,0.0,0.0,37
2007-09-13,78.5,51.5,65.0,44.0,54.0,0.5,0.5,8.1,-1,1807,529,0.0,0.0,37
2007-09-14,66.5,46.0,56.5,39.5,48.5,8.5,0.0,13.2,-8,1805,530,0.0,0.0,37
2007-09-15,61.5,40.5,51.0,34.0,44.0,14.0,0.0,6.25,-14,1803,531,0.0,0.0,37
2007-09-16,71.5,46.5,59.5,39.0,49.5,5.5,0.0,7.8,-6,1760,532,0.0,0.0,37
2007-09-17,80.0,53.5,67.0,48.5,57.0,0.0,2.0,11.55,2,1758,533,0.0,0.0,38
2007-09-18,88.5,64.5,77.0,57.5,65.0,0.0,12.0,12.95,12,1756,535,0.0,0.0,38
2007-09-19,84.0,66.5,75.5,59.0,65.0,0.0,10.5,9.35,12,1755,536,0.0,0.0,38
2007-09-20,77.0,61.5,69.5,59.0,63.5,0.0,4.5,6.35,7,1753,537,0.0,0.0,38
2007-09-21,89.0,66.0,77.5,59.0,66.0,0.0,12.5,11.95,14,1751,538,0.0,0.0,38
2007-09-22,73.0,54.5,64.0,44.0,54.0,1.0,0.0,7.25,1,1749,539,0.0,0.0,38
2007-09-23,83.5,52.5,68.0,50.0,58.5,0.0,3.0,5.85,6,1748,540,0.0,0.0,38
2007-09-24,90.5,69.5,80.0,62.5,68.5,0.0,15.0,11.2,18,1746,541,0.0,0.0,39
2007-09-25,84.0,65.0,74.5,65.5,69.0,0.0,9.5,9.95,13,1744,542,0.27,0.01,39
2007-09-26,68.5,54.0,61.5,50.5,55.5,3.5,0.0,6.949999999999999,1,1742,543,0.09,0.14,39
2007-09-27,74.5,50.5,62.5,49.0,55.0,2.5,0.0,6.15,2,1741,544,0.0001,0.0001,39
2007-09-28,73.0,53.0,63.0,46.0,53.5,2.0,0.0,6.85,4,1739,545,0.0,0.0,39
2007-09-29,81.0,51.0,66.0,45.5,55.0,0.0,1.0,9.3,6,1737,546,0.0,0.0,39
2007-09-30,83.5,60.0,72.0,48.5,59.0,0.0,7.0,13.9,12,1735,547,0.14,0.14,39
2007-10-01,68.5,59.0,64.0,59.0,61.0,1.0,0.0,8.5,6,1734,548,0.29,0.17,40
2007-10-02,79.0,58.0,69.0,59.0,63.0,0.0,4.0,10.7,10,1732,549,0.09,0.11,40
2007-10-03,74.0,55.5,65.0,47.5,56.0,0.0,0.0,7.1,8,1730,550,0.0,0.0001,40
2007-10-04,82.5,53.5,68.5,56.0,61.5,0.0,3.5,5.25,10,1729,552,0.0,0.0,40
2007-10-05,84.5,65.0,75.0,65.0,68.5,0.0,10.0,7.0,16,1727,553,0.0,0.06,40
2007-10-06,87.5,70.0,79.0,66.5,70.5,0.0,14.0,7.050000000000001,22,1725,554,0.0,0.0,40
2007-10-07,87.5,68.5,78.0,65.5,70.0,0.0,13.0,5.9,21,1724,555,0.0,0.0,40
2007-10-08,87.5,61.0,74.5,60.5,66.0,0.0,9.5,10.0,18,1722,556,0.0,0.0,41
2007-10-09,76.5,49.5,63.5,44.0,53.0,1.5,0.0,13.05,8,1720,557,0.0,0.0,41
2007-10-10,53.5,47.0,50.5,37.5,44.0,14.5,0.0,15.05,-4,1719,558,0.0001,0.0001,41
2007-10-11,55.0,47.0,51.0,39.0,45.0,14.0,0.0,14.2,-4,1717,559,0.0,0.0,41
2007-10-12,56.5,43.0,50.0,35.0,43.0,15.0,0.0,5.0,-5,1715,600,0.0,0.0,41
2007-10-13,59.0,42.0,51.0,40.5,47.0,14.0,0.0,4.1,-3,1714,602,0.0,0.0,41
2007-10-14,62.0,54.0,58.0,48.0,52.5,7.0,0.0,6.3,4,1712,603,0.15,0.01,41
2007-10-15,75.5,53.0,64.5,51.0,57.0,1.0,0.5,6.25,10,1711,604,0.07,0.04,42
2007-10-16,67.5,54.0,61.0,54.5,57.5,4.0,0.0,7.4,8,1709,605,0.24,0.19,42
2007-10-17,73.0,48.5,61.0,53.0,57.0,4.0,0.0,9.45,8,1707,606,0.04,0.11,42
2007-10-18,78.5,59.5,69.5,56.5,61.5,0.0,4.5,18.05,18,1706,607,0.3,0.34,42
2007-10-19,60.5,52.5,56.5,48.0,52.0,8.5,0.0,17.35,5,1704,608,0.01,0.0001,42
2007-10-20,73.5,47.0,60.5,43.0,52.0,4.5,0.0,11.85,10,1703,610,0.0,0.0,42
2007-10-21,79.5,60.5,70.0,46.5,56.5,0.0,5.0,17.5,20,1701,611,0.0,0.0,42
2007-10-22,66.5,46.5,57.0,47.0,50.5,8.0,0.0,9.75,7,1660,612,0.16,0.15,43
2007-10-23,55.5,44.5,50.5,37.5,44.5,14.5,0.0,8.05,2,1658,613,0.0,0.03,43
2007-10-24,54.0,44.0,49.0,35.0,42.5,16.0,0.0,15.9,0,1657,614,0.0,0.0,43
2007-10-25,56.0,45.0,50.5,39.5,46.0,14.5,0.0,14.4,2,1656,616,0.0001,0.0001,43
2007-10-26,65.5,53.0,59.5,48.5,52.0,5.5,0.0,7.050000000000001,11,1654,617,0.33,0.41,43
2007-10-27,56.0,38.0,47.0,39.5,45.5,18.0,0.0,9.5,-2,1653,618,0.01,0.08,43
2007-10-28,56.0,34.0,45.0,30.0,39.0,20.0,0.0,4.15,-2,1651,619,0.0,0.0,43
2007-10-29,60.5,39.0,50.0,32.0,42.0,15.0,0.0,9.85,3,1650,620,0.0,0.0,44
2007-10-30,66.0,41.5,54.0,37.5,46.0,11.0,0.0,11.7,8,1649,622,0.0,0.0,44
2007-10-31,62.5,42.0,52.5,37.5,46.0,12.5,0.0,14.65,6,1647,623,0.0,0.0,44
2008-05-01,73.5,48.0,61.0,51.0,56.5,4.0,0.0,10.95,8,1849,448,0.0,0.0001,18
2008-05-02,74.0,53.0,64.0,55.5,59.0,1.0,0.0,14.05,9,1850,447,1.28,0.74,18
2008-05-03,56.0,43.5,50.0,41.5,46.0,15.0,0.0,12.7,-4,1851,446,0.0001,0.01,18
2008-05-04,65.5,38.5,52.5,33.5,45.0,12.5,0.0,5.949999999999999,-2,1852,444,0.0,0.0,18
2008-05-05,74.5,50.0,62.5,38.0,50.0,2.5,0.0,6.6,8,1853,443,0.0,0.0,19
2008-05-06,81.5,49.0,65.5,43.5,55.0,0.5,1.0,7.95,9,1855,442,0.0,0.0,19
2008-05-07,70.5,49.5,60.5,52.5,56.0,4.5,0.0,11.7,5,1856,441,0.76,0.71,19
2008-05-08,59.0,46.0,52.5,35.5,44.5,12.5,0.0,13.8,-4,1857,439,0.0,0.0,19
2008-05-09,58.0,41.5,50.0,34.5,43.5,15.0,0.0,6.95,-6,1858,438,0.0,0.0,19
2008-05-10,61.0,39.5,50.5,38.0,45.5,14.5,0.0,6.449999999999999,-6,1859,437,0.0,0.0,19
2008-05-11,59.0,46.5,53.0,43.5,47.5,12.0,0.0,17.75,-5,1900,436,0.95,1.46,19
2008-05-12,54.5,40.5,47.5,38.5,43.0,17.5,0.0,7.699999999999999,-9,1901,435,0.0,0.0,20
2008-05-13,73.0,42.5,58.0,45.0,51.5,7.0,0.0,15.15,-1,1902,434,0.08,0.32,20
2008-05-14,62.5,45.5,54.5,48.5,52.0,10.5,0.0,9.25,-3,1903,433,0.02,0.02,20
2008-05-15,57.0,43.0,50.0,37.0,45.0,15.0,0.0,8.0,-8,1904,432,0.0,0.0,20
2008-05-16,72.5,40.5,57.0,41.0,50.0,8.0,0.0,9.1,-2,1905,431,0.0,0.0,20
2008-05-17,73.0,51.0,62.5,41.0,52.0,2.5,0.0,14.4,4,1906,430,0.12,0.26,20
2008-05-18,55.0,44.5,50.0,39.5,45.5,15.0,0.0,8.05,-10,1907,429,0.0,0.0,20
2008-05-19,59.5,41.0,50.5,33.5,43.5,14.5,0.0,5.95,-10,1908,428,0.0001,0.0001,21
2008-05-20,65.0,48.0,57.0,37.0,47.0,8.0,0.0,8.45,-4,1909,427,0.0,0.0001,21
2008-05-21,65.5,43.0,54.5,36.0,46.0,10.5,0.0,9.0,-7,1910,426,0.0,0.0,21
2008-05-22,57.5,46.0,52.0,38.0,45.0,13.0,0.0,10.5,-9,1911,425,0.0,0.0,21
2008-05-23,58.0,47.0,53.0,39.5,45.5,12.0,0.0,10.8,-9,1912,425,0.0,0.0,21
2008-05-24,67.5,42.0,55.0,39.0,48.0,10.0,0.0,7.9,-8,1913,424,0.0,0.0,21
2008-05-25,78.0,47.5,63.0,49.0,57.0,2.0,0.0,12.15,-1,1914,423,0.0001,0.0,21
2008-05-26,82.5,50.0,66.5,60.0,64.5,0.5,2.0,11.9,2,1915,422,0.48,0.0,22
2008-05-27,51.5,43.5,47.5,35.5,42.5,17.5,0.0,18.35,-16,1916,422,0.0,0.0001,22
2008-05-28,61.5,44.0,53.0,33.5,43.5,12.0,0.0,8.6,-10,1916,421,0.0,0.0,22
2008-05-29,67.5,43.5,56.0,37.5,47.5,9.0,0.0,4.0,-9,1917,421,0.01,0.08,22
2008-05-30,77.0,56.5,67.0,59.5,62.5,0.0,2.0,10.55,2,1918,420,0.4,0.3,22
2008-05-31,79.0,59.5,69.5,56.0,62.0,0.0,4.5,12.1,5,1919,420,0.0,0.0,22
2008-06-01,72.5,54.5,64.0,46.5,55.0,1.0,0.0,5.65,0,1920,419,0.0,0.0,22
2008-06-02,85.5,58.5,72.0,52.5,60.5,0.0,7.0,5.25,7,1920,419,0.0001,0.0,23
2008-06-03,71.5,56.0,64.0,56.5,58.5,1.5,0.5,7.949999999999999,-2,1921,418,0.52,0.92,23
2008-06-04,78.0,56.5,67.5,60.0,62.5,0.0,2.5,4.75,2,1922,418,0.0001,0.02,23
2008-06-05,87.5,64.0,76.0,68.5,71.5,0.0,11.0,13.9,9,1923,417,0.64,0.22,23
2008-06-06,86.5,73.0,80.0,68.5,72.0,0.0,15.0,20.5,14,1923,417,0.0001,0.03,23
2008-06-07,84.5,70.5,77.5,71.0,73.0,0.0,12.5,12.8,11,1924,417,0.11,0.07,23
2008-06-08,86.0,64.5,75.5,68.5,70.5,0.0,10.5,11.85,9,1925,417,1.24,1.31,23
2008-06-09,74.0,65.0,70.0,64.0,66.0,0.0,5.0,8.25,4,1925,416,0.14,0.21,24
2008-06-10,79.5,59.5,69.5,56.0,62.0,0.0,4.5,10.0,2,1926,416,0.0001,0.01,24
2008-06-11,86.0,63.5,75.0,55.5,64.0,0.0,10.0,10.2,7,1926,416,0.0,0.0,24
2008-06-12,91.0,73.0,82.0,63.0,69.5,0.0,17.0,15.7,14,1927,416,0.0,0.0,24
2008-06-13,82.0,65.5,74.0,62.5,66.0,0.0,9.0,10.35,6,1927,416,0.39,0.19,24
2008-06-14,84.0,60.0,72.5,52.5,61.5,0.0,7.5,9.05,4,1928,416,0.0,0.0,24
2008-06-15,81.5,60.5,71.0,60.0,64.0,0.0,6.0,9.75,3,1928,416,0.18,0.29,24
2008-06-16,73.0,59.5,66.5,49.0,57.0,0.0,1.5,11.35,-3,1929,416,0.0,0.0,25
2008-06-17,76.0,55.5,66.0,46.0,55.0,0.0,1.0,11.0,-3,1929,416,0.0,0.0,25
2008-06-18,76.0,57.0,67.0,48.5,56.0,0.0,2.0,7.4,-3,1929,416,0.0,0.0,25
2008-06-19,80.5,53.5,67.5,46.5,56.5,0.0,2.5,5.25,-3,1930,416,0.0,0.0,25
2008-06-20,82.5,59.0,71.0,52.5,59.5,0.0,6.0,7.550000000000001,0,1930,416,0.09,0.04,25
2008-06-21,82.5,61.5,72.5,52.5,61.0,0.0,7.5,7.35,2,1930,416,0.01,0.01,25
2008-06-22,81.5,59.0,70.5,52.5,59.5,0.0,5.5,4.75,0,1931,417,0.16,0.02,25
2008-06-23,76.5,56.5,67.0,54.0,59.0,0.0,2.0,6.4,-3,1931,417,0.0,0.0,26
2008-06-24,82.0,56.0,69.5,52.5,60.0,0.0,4.5,5.6,-2,1931,417,0.0,0.0,26
2008-06-25,79.0,66.5,73.0,64.5,67.5,0.0,8.0,8.9,2,1931,417,0.08,0.11,26
2008-06-26,86.5,70.5,78.5,66.5,70.5,0.0,13.5,7.55,7,1931,418,0.0,0.0,26
2008-06-27,84.5,67.5,76.0,67.0,70.0,0.0,11.0,8.25,4,1931,418,0.0001,0.0001,26
2008-06-28,83.5,65.0,74.5,55.0,63.0,0.0,9.5,13.85,3,1931,419,0.04,0.0001,26
